"HolderAddress","Balance","PendingBalanceUpdate"
"0x9561e60a343966665dcc4707126208a030b82468","3297.096508492","No"
"0x96479da95a9d1f921d4478e33b5ccdb7811c898a","81645.624315358","No"
"0x9792731951468324237103122305e70ab2048a49","0.747788435","No"
"0x979bcbefd5cf3631559f52d7ceb64e2ed5d8bcd8","87670.236752669","No"
"0x9838757cf8d9b49a03a00347a9c99d0f8922d5fa","6901.700887955","No"
"0x98a3149a4d45d4f6cc462279063cec7adaf0f395","0.758387754","No"
"0x98cc844d8b91279fb201b3b6ab2b0f83e222a9d2","43062.071383905","No"
"0x98d392cc344286b6c20e32c2f4e637b507568318","178200","No"
"0x98de01bed866871cf6eca03e842a06ab116a9d68","16000","No"
"0x9b7166f0a3e3b06ca3cd4734734a37d61dbea008","3118.604351506","No"
"0x9b80a503da52c09a69757240f5c3542dbe89fa26","4800","No"
"0x9d1bd54de00b4e424826581585ebc44d55f588c2","0.104323064","No"
"0x9dc7bffd0b3c92f2f071edff4cdd38545999b4b0","5284.87296924","No"
"0x9f0630b3a979ecf55f1529d1f78b965e79f658a7","201258.52793035","No"
